eventID,Year,Month,Lat_Dec,Lon_Dec,T_degC,Salnty,STheta,O2ml_L,O2Sat,Depthm,Bottom_D,Wind_Spd,presencia_engraulis,presencia_sardinops
001b3af2-02eb-ef11-a09e-2cea7fa0979c,2010,8,34.258333,-119.323333,13.956666666666665,33.5795,25.0774,5.262,90.03999999999999,7.666666666666667,23.0,4.0,False,False
002547f2-02eb-ef11-a09e-2cea7fa0979c,1958,10,34.441666,-120.541666,15.751111111111113,33.39555555555555,24.555666666666667,5.4366666666666665,96.24444444444444,25.88888888888889,104.0,18.0,True,False
002947f2-02eb-ef11-a09e-2cea7fa0979c,1959,5,37.641666,-123.483333,9.046206896551723,33.75927586206897,26.131103448275862,3.6251724137931034,56.55862068965517,118.6896551724138,2889.0,8.0,True,False
002b47f2-02eb-ef11-a09e-2cea7fa0979c,1959,8,30.483333,-117.775,12.13774193548387,33.78116129032258,25.514774193548387,3.593225806451613,61.70322580645161,169.0,2651.0,13.0,False,False
002d47f2-02eb-ef11-a09e-2cea7fa0979c,1959,10,28.933333,-114.691666,17.903333333333332,33.76144444444444,24.325888888888887,4.952222222222222,91.72222222222223,22.666666666666668,73.0,24.0,True,False
002e47f2-02eb-ef11-a09e-2cea7fa0979c,1960,1,22.783333,-110.366666,16.26181818181818,34.64304545454545,25.35531818181818,2.2118181818181815,42.35,92.5,1097.0,18.0,True,True
003147f2-02eb-ef11-a09e-2cea7fa0979c,1960,4,33.833333,-118.616666,10.565416666666666,33.844541666666665,25.92141666666667,3.2495833333333333,53.333333333333336,118.91666666666667,512.0,8.0,True,False
00353af2-02eb-ef11-a09e-2cea7fa0979c,1951,2,30.25,-121.183333,9.289705882352942,33.85460606060606,26.077575757575755,2.7702941176470586,45.85757575757576,363.7647058823529,3913.0,8.0,False,False
003547f2-02eb-ef11-a09e-2cea7fa0979c,1960,9,34.25,-130.683333,7.03828947368421,34.21936842105263,26.617263157894737,2.8996,45.67066666666667,1400.592105263158,5048.0,5.0,False,False
00363af2-02eb-ef11-a09e-2cea7fa0979c,1951,4,33.0,-120.358333,9.41,33.79515151515152,25.748152873563217,3.2430434782608693,60.14928977272727,191.43478260869566,695.0,13.0,True,True
00373af2-02eb-ef11-a09e-2cea7fa0979c,1951,6,33.483333,-122.533333,7.430689655172414,33.12,24.679,3.5659374999999995,60.14928977272727,421.17241379310343,4096.0,8.0,False,False
003e47f2-02eb-ef11-a09e-2cea7fa0979c,1963,5,25.0,-113.391666,8.35017543859649,34.3729649122807,26.60836842105263,1.8856140350877193,30.966666666666665,709.2105263157895,2743.0,18.0,False,False
004147f2-02eb-ef11-a09e-2cea7fa0979c,1964,2,28.608333,-118.283333,11.642142857142858,33.92425,25.750285714285717,3.7896428571428573,64.15357142857142,195.57142857142858,3292.0,8.0,True,False
005b54f2-02eb-ef11-a09e-2cea7fa0979c,1978,8,30.675,-118.791666,11.087666666666667,33.63946666666667,25.610066666666665,3.718,62.44333333333333,212.5,3000.0,8.0,False,False
006c54f2-02eb-ef11-a09e-2cea7fa0979c,1981,5,35.31,-121.965,9.984255319148936,33.66865957446809,25.877872340425533,4.171538461538462,67.78461538461538,172.2340425531915,2174.0,24.0,False,False
007240f2-02eb-ef11-a09e-2cea7fa0979c,1951,7,34.566666,-121.916666,7.389655172413793,33.95578787878788,26.572000000000003,2.5484848484848484,33.817241379310346,377.8181818181818,3804.0,13.0,False,False
007340f2-02eb-ef11-a09e-2cea7fa0979c,1951,9,32.166666,-118.891666,8.110714285714286,33.24,24.179,2.8071875,99.2,387.28125,1481.0,5.0,False,False
007454f2-02eb-ef11-a09e-2cea7fa0979c,1983,3,33.485,-117.768333,15.927142857142856,33.383714285714284,24.523285714285716,3.5659374999999995,60.14928977272727,31.428571428571427,63.0,8.0,True,False
007540f2-02eb-ef11-a09e-2cea7fa0979c,1952,2,33.616666,-119.875,11.465,33.462857142857146,25.484,4.988571428571428,81.42142857142858,56.642857142857146,238.0,13.0,False,False
007640f2-02eb-ef11-a09e-2cea7fa0979c,1952,4,30.341666,-119.45,10.819,33.835,25.86655,3.7269565217391305,57.525,199.91304347826087,3749.0,8.0,False,False
